"GEO_ID","id",
"NAME","Geographic Area Name",
"B05003_001E","Estimate!!Total",
"B05003_001M","Margin of Error!!Total",
"B05003_002E","Estimate!!Total!!Male",
"B05003_002M","Margin of Error!!Total!!Male",
"B05003_003E","Estimate!!Total!!Male!!Under 18 years",
"B05003_003M","Margin of Error!!Total!!Male!!Under 18 years",
"B05003_004E","Estimate!!Total!!Male!!Under 18 years!!Native",
"B05003_004M","Margin of Error!!Total!!Male!!Under 18 years!!Native",
"B05003_005E","Estimate!!Total!!Male!!Under 18 years!!Foreign born",
"B05003_005M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born",
"B05003_006E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003_006M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003_007E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003_007M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003_008E","Estimate!!Total!!Male!!18 years and over",
"B05003_008M","Margin of Error!!Total!!Male!!18 years and over",
"B05003_009E","Estimate!!Total!!Male!!18 years and over!!Native",
"B05003_009M","Margin of Error!!Total!!Male!!18 years and over!!Native",
"B05003_010E","Estimate!!Total!!Male!!18 years and over!!Foreign born",
"B05003_010M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born",
"B05003_011E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003_011M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003_012E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003_012M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003_013E","Estimate!!Total!!Female",
"B05003_013M","Margin of Error!!Total!!Female",
"B05003_014E","Estimate!!Total!!Female!!Under 18 years",
"B05003_014M","Margin of Error!!Total!!Female!!Under 18 years",
"B05003_015E","Estimate!!Total!!Female!!Under 18 years!!Native",
"B05003_015M","Margin of Error!!Total!!Female!!Under 18 years!!Native",
"B05003_016E","Estimate!!Total!!Female!!Under 18 years!!Foreign born",
"B05003_016M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born",
"B05003_017E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003_017M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003_018E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003_018M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003_019E","Estimate!!Total!!Female!!18 years and over",
"B05003_019M","Margin of Error!!Total!!Female!!18 years and over",
"B05003_020E","Estimate!!Total!!Female!!18 years and over!!Native",
"B05003_020M","Margin of Error!!Total!!Female!!18 years and over!!Native",
"B05003_021E","Estimate!!Total!!Female!!18 years and over!!Foreign born",
"B05003_021M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born",
"B05003_022E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003_022M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003_023E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003_023M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
