cvap.black_aa(count),CountyName
53,MITCHELL
6093,GREENE
3774,CHOWAN
2933,CALDWELL
9832,CATAWBA
16604,CRAVEN
23365,EDGECOMBE
20022,HARNETT
2780,HENDERSON
1386,HYDE
236096,MECKLENBURG
9203,NORTHAMPTON
16806,ROWAN
16566,VANCE
1136,CURRITUCK
18818,UNION
71907,FORSYTH
28213,NASH
9099,BLADEN
626,DARE
8113,WARREN
24449,WILSON
9752,BERTIE
3145,GATES
13,GRAHAM
7664,MARTIN
349,MADISON
2132,PAMLICO
2492,PERQUIMANS
813,POLK
6494,RANDOLPH
13518,ROCKINGHAM
1552,STOKES
4367,WASHINGTON
1100,CAMDEN
133,CLAY
89866,CUMBERLAND
25578,GASTON
129996,GUILFORD
856,JACKSON
9057,MOORE
24081,ROBESON
5098,STANLY
153556,WAKE
117,YANCEY
6605,CHATHAM
1327,MCDOWELL
21604,JOHNSTON
2507,JONES
8161,PERSON
10700,BRUNSWICK
177,ASHE
9262,BEAUFORT
17241,LENOIR
5171,RUTHERFORD
3374,LINCOLN
21195,ONSLOW
12928,ORANGE
12432,SAMPSON
1011,YADKIN
744,AVERY
4872,BURKE
6178,CASWELL
1897,DAVIE
11237,DUPLIN
85724,DURHAM
8655,LEE
23260,NEW HANOVER
28672,WAYNE
10244,SCOTLAND
21098,HALIFAX
23370,ALAMANCE
498,HAYWOOD
192,ALLEGHANY
14872,CLEVELAND
14691,GRANVILLE
13412,HOKE
15151,IREDELL
45435,PITT
282,CHEROKEE
2204,WILKES
1760,ALEXANDER
3221,CARTERET
11278,PASQUOTANK
40,SWAIN
9655,ANSON
12880,FRANKLIN
370,MACON
1165,TRANSYLVANIA
13261,COLUMBUS
3883,MONTGOMERY
10705,RICHMOND
2063,SURRY
12052,BUNCOMBE
24736,CABARRUS
11529,DAVIDSON
11346,HERTFORD
7009,PENDER
804,WATAUGA
1379,TYRRELL
